Thickness (m),Diameter (m),Density (kN/m³),n,Pressure (MPa),Material,Alpha1,Bcon1,Ccon1
0.04,0.5,18,8,10,Brick,0.37121,2,7
0.04,0.5,18,10,10,Brick,0.35736,3,9
0.04,0.5,18,12,10,Brick,0.34048,3,10
0.04,0.5,18,14,10,Brick,0.3313,4,12
0.04,0.5,18,16,10,Brick,0.32116,4,13
0.04,0.5,18,18,10,Brick,0.31456,5,15
0.04,0.5,18,20,10,Brick,0.30845,5,17
0.04,0.5,18,22,10,Brick,0.30349,6,18
0.04,0.5,18,24,10,Brick,0.29868,6,20
0.04,0.5,18,26,10,Brick,0.29574,7,21
0.04,0.5,18,28,10,Brick,0.2918,7,23
0.04,0.5,18,30,10,Brick,0.29006,8,24
0.04,0.5,18,32,10,Brick,0.28673,8,26
0.04,0.5,18,34,10,Brick,0.28573,9,27
0.04,0.5,18,36,10,Brick,0.28284,9,29
0.04,0.5,18,38,10,Brick,0.28233,10,30
0.04,0.5,18,40,10,Brick,0.27977,10,32
0.04,0.5,18,42,10,Brick,0.27932,11,34
0.04,0.5,18,44,10,Brick,0.2773,11,35
0.04,0.5,18,46,10,Brick,0.27676,12,37
0.04,0.5,18,48,10,Brick,0.27526,12,38
0.04,0.5,18,50,10,Brick,0.27467,13,40
0.04,0.5,18,52,10,Brick,0.27355,13,41
0.04,0.5,18,54,10,Brick,0.27293,14,43
0.04,0.5,18,56,10,Brick,0.27209,14,44
0.04,0.5,18,58,10,Brick,0.27146,15,46
0.04,0.5,18,60,10,Brick,0.27064,15,48
0.0575,0.5,18,8,10,Brick,0.27064,15,48
0.0575,0.5,18,10,10,Brick,0.27064,15,48
0.0575,0.5,18,12,10,Brick,0.27064,15,48
0.0575,0.5,18,14,10,Brick,0.27064,15,48
0.0575,0.5,18,16,10,Brick,0.27064,15,48
0.0575,0.5,18,18,10,Brick,0.27064,15,48
0.0575,0.5,18,20,10,Brick,0.27064,15,48
0.0575,0.5,18,22,10,Brick,0.27064,15,48
0.0575,0.5,18,24,10,Brick,0.27064,15,48
0.0575,0.5,18,26,10,Brick,0.27064,15,48
0.0575,0.5,18,28,10,Brick,0.27064,15,48
0.0575,0.5,18,30,10,Brick,0.27064,15,48
0.0575,0.5,18,32,10,Brick,0.27064,15,48
0.0575,0.5,18,34,10,Brick,0.27064,15,48
0.0575,0.5,18,36,10,Brick,0.27064,15,48
0.0575,0.5,18,38,10,Brick,0.27064,15,48
0.0575,0.5,18,40,10,Brick,0.27064,15,48
0.0575,0.5,18,42,10,Brick,0.27064,15,48
0.0575,0.5,18,44,10,Brick,0.27064,15,48
0.0575,0.5,18,46,10,Brick,0.27064,15,48
0.0575,0.5,18,48,10,Brick,0.27064,15,48
0.0575,0.5,18,50,10,Brick,0.27707,15,50
0.0575,0.5,18,52,10,Brick,0.29853,15,52
0.0575,0.5,18,54,10,Brick,0.35068,15,54
0.0575,0.5,18,56,10,Brick,0.35289,16,42
0.0575,0.5,18,58,10,Brick,0.35063,17,44
0.0575,0.5,18,60,10,Brick,0.35174,18,45
0.075,0.5,18,8,10,Brick,0.35174,18,45
0.075,0.5,18,10,10,Brick,0.35174,18,45
0.075,0.5,18,12,10,Brick,0.35174,18,45
0.075,0.5,18,14,10,Brick,0.35174,18,45
0.075,0.5,18,16,10,Brick,0.35174,18,45
0.075,0.5,18,18,10,Brick,0.35174,18,45
0.075,0.5,18,20,10,Brick,0.35174,18,45
0.075,0.5,18,22,10,Brick,0.35174,18,45
0.075,0.5,18,24,10,Brick,0.35174,18,45
0.075,0.5,18,26,10,Brick,0.35174,18,45
0.075,0.5,18,28,10,Brick,0.35174,18,45
0.075,0.5,18,30,10,Brick,0.35174,18,45
0.075,0.5,18,32,10,Brick,0.35174,18,45
0.075,0.5,18,34,10,Brick,0.35174,18,45
0.075,0.5,18,36,10,Brick,0.35174,18,45
0.075,0.5,18,38,10,Brick,0.35174,18,45
0.075,0.5,18,40,10,Brick,0.35174,18,45
0.075,0.5,18,42,10,Brick,0.35174,18,45
0.075,0.5,18,44,10,Brick,0.35174,18,45
0.075,0.5,18,46,10,Brick,0.35273,18,46
0.075,0.5,18,48,10,Brick,0.36258,18,48
0.075,0.5,18,50,10,Brick,0.38772,17,50
0.075,0.5,18,52,10,Brick,0.43712,17,37
0.075,0.5,18,54,10,Brick,0.43918,17,39
0.075,0.5,18,56,10,Brick,0.43578,18,40
0.075,0.5,18,58,10,Brick,0.43514,19,42
0.075,0.5,18,60,10,Brick,0.43636,19,43
0.04,0.5,25,8,50,Stone,0.37227,2,7
0.04,0.5,25,10,50,Stone,0.35904,3,9
0.04,0.5,25,12,50,Stone,0.34429,3,10
0.04,0.5,25,14,50,Stone,0.33373,4,12
0.04,0.5,25,16,50,Stone,0.32531,4,13
0.04,0.5,25,18,50,Stone,0.31757,5,15
0.04,0.5,25,20,50,Stone,0.31167,5,17
0.04,0.5,25,22,50,Stone,0.30688,6,18
0.04,0.5,25,24,50,Stone,0.3022,6,20
0.04,0.5,25,26,50,Stone,0.29941,7,21
0.04,0.5,25,28,50,Stone,0.29555,7,23
0.04,0.5,25,30,50,Stone,0.29392,8,24
0.04,0.5,25,32,50,Stone,0.29064,8,26
0.04,0.5,25,34,50,Stone,0.28974,9,27
0.04,0.5,25,36,50,Stone,0.28688,9,29
0.04,0.5,25,38,50,Stone,0.28605,10,31
0.04,0.5,25,40,50,Stone,0.28392,10,32
0.04,0.5,25,42,50,Stone,0.28299,11,34
0.04,0.5,25,44,50,Stone,0.28153,11,35
0.04,0.5,25,46,50,Stone,0.28056,12,37
0.04,0.5,25,48,50,Stone,0.27955,12,38
0.04,0.5,25,50,50,Stone,0.27857,13,40
0.04,0.5,25,52,50,Stone,0.27779,13,42
0.04,0.5,25,54,50,Stone,0.27691,14,43
0.04,0.5,25,56,50,Stone,0.27613,14,45
0.04,0.5,25,58,50,Stone,0.27552,15,46
0.04,0.5,25,60,50,Stone,0.27473,15,48
0.0575,0.5,25,8,50,Stone,0.27473,15,48
0.0575,0.5,25,10,50,Stone,0.27473,15,48
0.0575,0.5,25,12,50,Stone,0.27473,15,48
0.0575,0.5,25,14,50,Stone,0.27473,15,48
0.0575,0.5,25,16,50,Stone,0.27473,15,48
0.0575,0.5,25,18,50,Stone,0.27473,15,48
0.0575,0.5,25,20,50,Stone,0.27473,15,48
0.0575,0.5,25,22,50,Stone,0.27473,15,48
0.0575,0.5,25,24,50,Stone,0.27473,15,48
0.0575,0.5,25,26,50,Stone,0.27473,15,48
0.0575,0.5,25,28,50,Stone,0.27473,15,48
0.0575,0.5,25,30,50,Stone,0.27473,15,48
0.0575,0.5,25,32,50,Stone,0.27473,15,48
0.0575,0.5,25,34,50,Stone,0.27473,15,48
0.0575,0.5,25,36,50,Stone,0.27473,15,48
0.0575,0.5,25,38,50,Stone,0.27473,15,48
0.0575,0.5,25,40,50,Stone,0.27473,15,48
0.0575,0.5,25,42,50,Stone,0.27473,15,48
0.0575,0.5,25,44,50,Stone,0.27473,15,48
0.0575,0.5,25,46,50,Stone,0.27473,15,48
0.0575,0.5,25,48,50,Stone,0.27473,15,48
0.0575,0.5,25,50,50,Stone,0.28051,15,50
0.0575,0.5,25,52,50,Stone,0.30138,15,52
0.0575,0.5,25,54,50,Stone,0.35303,15,54
0.0575,0.5,25,56,50,Stone,0.35596,16,42
0.0575,0.5,25,58,50,Stone,0.3568,17,44
0.0575,0.5,25,60,50,Stone,0.35552,17,45
0.075,0.5,25,8,50,Stone,0.35552,17,45
0.075,0.5,25,10,50,Stone,0.35552,17,45
0.075,0.5,25,12,50,Stone,0.35552,17,45
0.075,0.5,25,14,50,Stone,0.35552,17,45
0.075,0.5,25,16,50,Stone,0.35552,17,45
0.075,0.5,25,18,50,Stone,0.35552,17,45
0.075,0.5,25,20,50,Stone,0.35552,17,45
0.075,0.5,25,22,50,Stone,0.35552,17,45
0.075,0.5,25,24,50,Stone,0.35552,17,45
0.075,0.5,25,26,50,Stone,0.35552,17,45
0.075,0.5,25,28,50,Stone,0.35552,17,45
0.075,0.5,25,30,50,Stone,0.35552,17,45
0.075,0.5,25,32,50,Stone,0.35552,17,45
0.075,0.5,25,34,50,Stone,0.35552,17,45
0.075,0.5,25,36,50,Stone,0.35552,17,45
0.075,0.5,25,38,50,Stone,0.35552,17,45
0.075,0.5,25,40,50,Stone,0.35552,17,45
0.075,0.5,25,42,50,Stone,0.35552,17,45
0.075,0.5,25,44,50,Stone,0.35552,17,45
0.075,0.5,25,46,50,Stone,0.35601,17,46
0.075,0.5,25,48,50,Stone,0.36459,17,48
0.075,0.5,25,50,50,Stone,0.38849,17,50
0.075,0.5,25,52,50,Stone,0.44005,17,52
0.075,0.5,25,54,50,Stone,0.44256,17,39
0.075,0.5,25,56,50,Stone,0.44104,18,40
0.075,0.5,25,58,50,Stone,0.44324,19,42
0.075,0.5,25,60,50,Stone,0.4399,19,43
0.044,0.55,18,8,10,Brick,0.37121,2,7
0.044,0.55,18,10,10,Brick,0.35736,3,9
0.044,0.55,18,12,10,Brick,0.34048,3,10
0.044,0.55,18,14,10,Brick,0.3313,4,12
0.044,0.55,18,16,10,Brick,0.32116,4,13
0.044,0.55,18,18,10,Brick,0.31456,5,15
0.044,0.55,18,20,10,Brick,0.30845,5,17
0.044,0.55,18,22,10,Brick,0.30349,6,18
0.044,0.55,18,24,10,Brick,0.29868,6,20
0.044,0.55,18,26,10,Brick,0.29574,7,21
0.044,0.55,18,28,10,Brick,0.2918,7,23
0.044,0.55,18,30,10,Brick,0.29006,8,24
0.044,0.55,18,32,10,Brick,0.28673,8,26
0.044,0.55,18,34,10,Brick,0.28573,9,27
0.044,0.55,18,36,10,Brick,0.28284,9,29
0.044,0.55,18,38,10,Brick,0.28233,10,30
0.044,0.55,18,40,10,Brick,0.27977,10,32
0.044,0.55,18,42,10,Brick,0.27932,11,34
0.044,0.55,18,44,10,Brick,0.2773,11,35
0.044,0.55,18,46,10,Brick,0.27676,12,37
0.044,0.55,18,48,10,Brick,0.27526,12,38
0.044,0.55,18,50,10,Brick,0.27467,13,40
0.044,0.55,18,52,10,Brick,0.27355,13,41
0.044,0.55,18,54,10,Brick,0.27293,14,43
0.044,0.55,18,56,10,Brick,0.27209,14,44
0.044,0.55,18,58,10,Brick,0.27146,15,46
0.044,0.55,18,60,10,Brick,0.27064,15,48
0.06325,0.55,18,8,10,Brick,0.27064,15,48
0.06325,0.55,18,10,10,Brick,0.27064,15,48
0.06325,0.55,18,12,10,Brick,0.27064,15,48
0.06325,0.55,18,14,10,Brick,0.27064,15,48
0.06325,0.55,18,16,10,Brick,0.27064,15,48
0.06325,0.55,18,18,10,Brick,0.27064,15,48
0.06325,0.55,18,20,10,Brick,0.27064,15,48
0.06325,0.55,18,22,10,Brick,0.27064,15,48
0.06325,0.55,18,24,10,Brick,0.27064,15,48
0.06325,0.55,18,26,10,Brick,0.27064,15,48
0.06325,0.55,18,28,10,Brick,0.27064,15,48
0.06325,0.55,18,30,10,Brick,0.27064,15,48
0.06325,0.55,18,32,10,Brick,0.27064,15,48
0.06325,0.55,18,34,10,Brick,0.27064,15,48
0.06325,0.55,18,36,10,Brick,0.27064,15,48
0.06325,0.55,18,38,10,Brick,0.27064,15,48
0.06325,0.55,18,40,10,Brick,0.27064,15,48
0.06325,0.55,18,42,10,Brick,0.27064,15,48
0.06325,0.55,18,44,10,Brick,0.27064,15,48
0.06325,0.55,18,46,10,Brick,0.27064,15,48
0.06325,0.55,18,48,10,Brick,0.27064,15,48
0.06325,0.55,18,50,10,Brick,0.27707,15,50
0.06325,0.55,18,52,10,Brick,0.29853,15,52
0.06325,0.55,18,54,10,Brick,0.35068,15,54
0.06325,0.55,18,56,10,Brick,0.35289,16,42
0.06325,0.55,18,58,10,Brick,0.35063,17,44
0.06325,0.55,18,60,10,Brick,0.35174,18,45
0.0825,0.55,18,8,10,Brick,0.35174,18,45
0.0825,0.55,18,10,10,Brick,0.35174,18,45
0.0825,0.55,18,12,10,Brick,0.35174,18,45
0.0825,0.55,18,14,10,Brick,0.35174,18,45
0.0825,0.55,18,16,10,Brick,0.35174,18,45
0.0825,0.55,18,18,10,Brick,0.35174,18,45
0.0825,0.55,18,20,10,Brick,0.35174,18,45
0.0825,0.55,18,22,10,Brick,0.35174,18,45
0.0825,0.55,18,24,10,Brick,0.35174,18,45
0.0825,0.55,18,26,10,Brick,0.35174,18,45
0.0825,0.55,18,28,10,Brick,0.35174,18,45
0.0825,0.55,18,30,10,Brick,0.35174,18,45
0.0825,0.55,18,32,10,Brick,0.35174,18,45
0.0825,0.55,18,34,10,Brick,0.35174,18,45
0.0825,0.55,18,36,10,Brick,0.35174,18,45
0.0825,0.55,18,38,10,Brick,0.35174,18,45
0.0825,0.55,18,40,10,Brick,0.35174,18,45
0.0825,0.55,18,42,10,Brick,0.35174,18,45
0.0825,0.55,18,44,10,Brick,0.35174,18,45
0.0825,0.55,18,46,10,Brick,0.35273,18,46
0.0825,0.55,18,48,10,Brick,0.36258,18,48
0.0825,0.55,18,50,10,Brick,0.38772,17,50
0.0825,0.55,18,52,10,Brick,0.43712,17,37
0.0825,0.55,18,54,10,Brick,0.43918,17,39
0.0825,0.55,18,56,10,Brick,0.43578,18,40
0.0825,0.55,18,58,10,Brick,0.43514,19,42
0.0825,0.55,18,60,10,Brick,0.43636,19,43
0.044,0.55,25,8,50,Stone,0.37227,2,7
0.044,0.55,25,10,50,Stone,0.35904,3,9
0.044,0.55,25,12,50,Stone,0.34429,3,10
0.044,0.55,25,14,50,Stone,0.33373,4,12
0.044,0.55,25,16,50,Stone,0.32531,4,13
0.044,0.55,25,18,50,Stone,0.31757,5,15
0.044,0.55,25,20,50,Stone,0.31167,5,17
0.044,0.55,25,22,50,Stone,0.30688,6,18
0.044,0.55,25,24,50,Stone,0.3022,6,20
0.044,0.55,25,26,50,Stone,0.29941,7,21
0.044,0.55,25,28,50,Stone,0.29555,7,23
0.044,0.55,25,30,50,Stone,0.29392,8,24
0.044,0.55,25,32,50,Stone,0.29064,8,26
0.044,0.55,25,34,50,Stone,0.28974,9,27
0.044,0.55,25,36,50,Stone,0.28688,9,29
0.044,0.55,25,38,50,Stone,0.28605,10,31
0.044,0.55,25,40,50,Stone,0.28392,10,32
0.044,0.55,25,42,50,Stone,0.28299,11,34
0.044,0.55,25,44,50,Stone,0.28153,11,35
0.044,0.55,25,46,50,Stone,0.28056,12,37
0.044,0.55,25,48,50,Stone,0.27955,12,38
0.044,0.55,25,50,50,Stone,0.27857,13,40
0.044,0.55,25,52,50,Stone,0.27779,13,42
0.044,0.55,25,54,50,Stone,0.27691,14,43
0.044,0.55,25,56,50,Stone,0.27613,14,45
0.044,0.55,25,58,50,Stone,0.27552,15,46
0.044,0.55,25,60,50,Stone,0.27473,15,48
0.06325,0.55,25,8,50,Stone,0.27473,15,48
0.06325,0.55,25,10,50,Stone,0.27473,15,48
0.06325,0.55,25,12,50,Stone,0.27473,15,48
0.06325,0.55,25,14,50,Stone,0.27473,15,48
0.06325,0.55,25,16,50,Stone,0.27473,15,48
0.06325,0.55,25,18,50,Stone,0.27473,15,48
0.06325,0.55,25,20,50,Stone,0.27473,15,48
0.06325,0.55,25,22,50,Stone,0.27473,15,48
0.06325,0.55,25,24,50,Stone,0.27473,15,48
0.06325,0.55,25,26,50,Stone,0.27473,15,48
0.06325,0.55,25,28,50,Stone,0.27473,15,48
0.06325,0.55,25,30,50,Stone,0.27473,15,48
0.06325,0.55,25,32,50,Stone,0.27473,15,48
0.06325,0.55,25,34,50,Stone,0.27473,15,48
0.06325,0.55,25,36,50,Stone,0.27473,15,48
0.06325,0.55,25,38,50,Stone,0.27473,15,48
0.06325,0.55,25,40,50,Stone,0.27473,15,48
0.06325,0.55,25,42,50,Stone,0.27473,15,48
0.06325,0.55,25,44,50,Stone,0.27473,15,48
0.06325,0.55,25,46,50,Stone,0.27473,15,48
0.06325,0.55,25,48,50,Stone,0.27473,15,48
0.06325,0.55,25,50,50,Stone,0.28051,15,50
0.06325,0.55,25,52,50,Stone,0.30138,15,52
0.06325,0.55,25,54,50,Stone,0.35303,15,54
0.06325,0.55,25,56,50,Stone,0.35596,16,42
0.06325,0.55,25,58,50,Stone,0.3568,17,44
0.06325,0.55,25,60,50,Stone,0.35552,17,45
0.0825,0.55,25,8,50,Stone,0.35552,17,45
0.0825,0.55,25,10,50,Stone,0.35552,17,45
0.0825,0.55,25,12,50,Stone,0.35552,17,45
0.0825,0.55,25,14,50,Stone,0.35552,17,45
0.0825,0.55,25,16,50,Stone,0.35552,17,45
0.0825,0.55,25,18,50,Stone,0.35552,17,45
0.0825,0.55,25,20,50,Stone,0.35552,17,45
0.0825,0.55,25,22,50,Stone,0.35552,17,45
0.0825,0.55,25,24,50,Stone,0.35552,17,45
0.0825,0.55,25,26,50,Stone,0.35552,17,45
0.0825,0.55,25,28,50,Stone,0.35552,17,45
0.0825,0.55,25,30,50,Stone,0.35552,17,45
0.0825,0.55,25,32,50,Stone,0.35552,17,45
0.0825,0.55,25,34,50,Stone,0.35552,17,45
0.0825,0.55,25,36,50,Stone,0.35552,17,45
0.0825,0.55,25,38,50,Stone,0.35552,17,45
0.0825,0.55,25,40,50,Stone,0.35552,17,45
0.0825,0.55,25,42,50,Stone,0.35552,17,45
0.0825,0.55,25,44,50,Stone,0.35552,17,45
0.0825,0.55,25,46,50,Stone,0.35601,17,46
0.0825,0.55,25,48,50,Stone,0.36459,17,48
0.0825,0.55,25,50,50,Stone,0.38849,17,50
0.0825,0.55,25,52,50,Stone,0.44005,17,52
0.0825,0.55,25,54,50,Stone,0.44256,17,39
0.0825,0.55,25,56,50,Stone,0.44104,18,40
0.0825,0.55,25,58,50,Stone,0.44324,19,42
0.0825,0.55,25,60,50,Stone,0.4399,19,43
0.048,0.6,18,8,10,Brick,0.37121,2,7
0.048,0.6,18,10,10,Brick,0.35736,3,9
0.048,0.6,18,12,10,Brick,0.34048,3,10
0.048,0.6,18,14,10,Brick,0.3313,4,12
0.048,0.6,18,16,10,Brick,0.32116,4,13
0.048,0.6,18,18,10,Brick,0.31456,5,15
0.048,0.6,18,20,10,Brick,0.30845,5,17
0.048,0.6,18,22,10,Brick,0.30349,6,18
0.048,0.6,18,24,10,Brick,0.29868,6,20
0.048,0.6,18,26,10,Brick,0.29574,7,21
0.048,0.6,18,28,10,Brick,0.2918,7,23
0.048,0.6,18,30,10,Brick,0.29006,8,24
0.048,0.6,18,32,10,Brick,0.28673,8,26
0.048,0.6,18,34,10,Brick,0.28573,9,27
0.048,0.6,18,36,10,Brick,0.28284,9,29
0.048,0.6,18,38,10,Brick,0.28233,10,30
0.048,0.6,18,40,10,Brick,0.27977,10,32
0.048,0.6,18,42,10,Brick,0.27932,11,34
0.048,0.6,18,44,10,Brick,0.2773,11,35
0.048,0.6,18,46,10,Brick,0.27676,12,37
0.048,0.6,18,48,10,Brick,0.27526,12,38
0.048,0.6,18,50,10,Brick,0.27467,13,40
0.048,0.6,18,52,10,Brick,0.27355,13,41
0.048,0.6,18,54,10,Brick,0.27293,14,43
0.048,0.6,18,56,10,Brick,0.27209,14,44
0.048,0.6,18,58,10,Brick,0.27146,15,46
0.048,0.6,18,60,10,Brick,0.27064,15,48
0.069,0.6,18,8,10,Brick,0.27064,15,48
0.069,0.6,18,10,10,Brick,0.27064,15,48
0.069,0.6,18,12,10,Brick,0.27064,15,48
0.069,0.6,18,14,10,Brick,0.27064,15,48
0.069,0.6,18,16,10,Brick,0.27064,15,48
0.069,0.6,18,18,10,Brick,0.27064,15,48
0.069,0.6,18,20,10,Brick,0.27064,15,48
0.069,0.6,18,22,10,Brick,0.27064,15,48
0.069,0.6,18,24,10,Brick,0.27064,15,48
0.069,0.6,18,26,10,Brick,0.27064,15,48
0.069,0.6,18,28,10,Brick,0.27064,15,48
0.069,0.6,18,30,10,Brick,0.27064,15,48
0.069,0.6,18,32,10,Brick,0.27064,15,48
0.069,0.6,18,34,10,Brick,0.27064,15,48
0.069,0.6,18,36,10,Brick,0.27064,15,48
0.069,0.6,18,38,10,Brick,0.27064,15,48
0.069,0.6,18,40,10,Brick,0.27064,15,48
0.069,0.6,18,42,10,Brick,0.27064,15,48
0.069,0.6,18,44,10,Brick,0.27064,15,48
0.069,0.6,18,46,10,Brick,0.27064,15,48
0.069,0.6,18,48,10,Brick,0.27064,15,48
0.069,0.6,18,50,10,Brick,0.27707,15,50
0.069,0.6,18,52,10,Brick,0.29853,15,52
0.069,0.6,18,54,10,Brick,0.35068,15,54
0.069,0.6,18,56,10,Brick,0.35289,16,42
0.069,0.6,18,58,10,Brick,0.35063,17,44
0.069,0.6,18,60,10,Brick,0.35174,18,45
0.09,0.6,18,8,10,Brick,0.35174,18,45
0.09,0.6,18,10,10,Brick,0.35174,18,45
0.09,0.6,18,12,10,Brick,0.35174,18,45
0.09,0.6,18,14,10,Brick,0.35174,18,45
0.09,0.6,18,16,10,Brick,0.35174,18,45
0.09,0.6,18,18,10,Brick,0.35174,18,45
0.09,0.6,18,20,10,Brick,0.35174,18,45
0.09,0.6,18,22,10,Brick,0.35174,18,45
0.09,0.6,18,24,10,Brick,0.35174,18,45
0.09,0.6,18,26,10,Brick,0.35174,18,45
0.09,0.6,18,28,10,Brick,0.35174,18,45
0.09,0.6,18,30,10,Brick,0.35174,18,45
0.09,0.6,18,32,10,Brick,0.35174,18,45
0.09,0.6,18,34,10,Brick,0.35174,18,45
0.09,0.6,18,36,10,Brick,0.35174,18,45
0.09,0.6,18,38,10,Brick,0.35174,18,45
0.09,0.6,18,40,10,Brick,0.35174,18,45
0.09,0.6,18,42,10,Brick,0.35174,18,45
0.09,0.6,18,44,10,Brick,0.35174,18,45
0.09,0.6,18,46,10,Brick,0.35273,18,46
0.09,0.6,18,48,10,Brick,0.36258,18,48
0.09,0.6,18,50,10,Brick,0.38772,17,50
0.09,0.6,18,52,10,Brick,0.43712,17,37
0.09,0.6,18,54,10,Brick,0.43918,17,39
0.09,0.6,18,56,10,Brick,0.43578,18,40
0.09,0.6,18,58,10,Brick,0.43514,19,42
0.09,0.6,18,60,10,Brick,0.43636,19,43
0.048,0.6,25,8,50,Stone,0.37227,2,7
0.048,0.6,25,10,50,Stone,0.35904,3,9
0.048,0.6,25,12,50,Stone,0.34429,3,10
0.048,0.6,25,14,50,Stone,0.33373,4,12
0.048,0.6,25,16,50,Stone,0.32531,4,13
0.048,0.6,25,18,50,Stone,0.31757,5,15
0.048,0.6,25,20,50,Stone,0.31167,5,17
0.048,0.6,25,22,50,Stone,0.30688,6,18
0.048,0.6,25,24,50,Stone,0.3022,6,20
0.048,0.6,25,26,50,Stone,0.29941,7,21
0.048,0.6,25,28,50,Stone,0.29555,7,23
0.048,0.6,25,30,50,Stone,0.29392,8,24
0.048,0.6,25,32,50,Stone,0.29064,8,26
0.048,0.6,25,34,50,Stone,0.28974,9,27
0.048,0.6,25,36,50,Stone,0.28688,9,29
0.048,0.6,25,38,50,Stone,0.28605,10,31
0.048,0.6,25,40,50,Stone,0.28392,10,32
0.048,0.6,25,42,50,Stone,0.28299,11,34
0.048,0.6,25,44,50,Stone,0.28153,11,35
0.048,0.6,25,46,50,Stone,0.28056,12,37
0.048,0.6,25,48,50,Stone,0.27955,12,38
0.048,0.6,25,50,50,Stone,0.27857,13,40
0.048,0.6,25,52,50,Stone,0.27779,13,42
0.048,0.6,25,54,50,Stone,0.27691,14,43
0.048,0.6,25,56,50,Stone,0.27613,14,45
0.048,0.6,25,58,50,Stone,0.27552,15,46
0.048,0.6,25,60,50,Stone,0.27473,15,48
0.069,0.6,25,8,50,Stone,0.27473,15,48
0.069,0.6,25,10,50,Stone,0.27473,15,48
0.069,0.6,25,12,50,Stone,0.27473,15,48
0.069,0.6,25,14,50,Stone,0.27473,15,48
0.069,0.6,25,16,50,Stone,0.27473,15,48
0.069,0.6,25,18,50,Stone,0.27473,15,48
0.069,0.6,25,20,50,Stone,0.27473,15,48
0.069,0.6,25,22,50,Stone,0.27473,15,48
0.069,0.6,25,24,50,Stone,0.27473,15,48
0.069,0.6,25,26,50,Stone,0.27473,15,48
0.069,0.6,25,28,50,Stone,0.27473,15,48
0.069,0.6,25,30,50,Stone,0.27473,15,48
0.069,0.6,25,32,50,Stone,0.27473,15,48
0.069,0.6,25,34,50,Stone,0.27473,15,48
0.069,0.6,25,36,50,Stone,0.27473,15,48
0.069,0.6,25,38,50,Stone,0.27473,15,48
0.069,0.6,25,40,50,Stone,0.27473,15,48
0.069,0.6,25,42,50,Stone,0.27473,15,48
0.069,0.6,25,44,50,Stone,0.27473,15,48
0.069,0.6,25,46,50,Stone,0.27473,15,48
0.069,0.6,25,48,50,Stone,0.27473,15,48
0.069,0.6,25,50,50,Stone,0.28051,15,50
0.069,0.6,25,52,50,Stone,0.30138,15,52
0.069,0.6,25,54,50,Stone,0.35303,15,54
0.069,0.6,25,56,50,Stone,0.35596,16,42
0.069,0.6,25,58,50,Stone,0.3568,17,44
0.069,0.6,25,60,50,Stone,0.35552,17,45
0.09,0.6,25,8,50,Stone,0.35552,17,45
0.09,0.6,25,10,50,Stone,0.35552,17,45
0.09,0.6,25,12,50,Stone,0.35552,17,45
0.09,0.6,25,14,50,Stone,0.35552,17,45
0.09,0.6,25,16,50,Stone,0.35552,17,45
0.09,0.6,25,18,50,Stone,0.35552,17,45
0.09,0.6,25,20,50,Stone,0.35552,17,45
0.09,0.6,25,22,50,Stone,0.35552,17,45
0.09,0.6,25,24,50,Stone,0.35552,17,45
0.09,0.6,25,26,50,Stone,0.35552,17,45
0.09,0.6,25,28,50,Stone,0.35552,17,45
0.09,0.6,25,30,50,Stone,0.35552,17,45
0.09,0.6,25,32,50,Stone,0.35552,17,45
0.09,0.6,25,34,50,Stone,0.35552,17,45
0.09,0.6,25,36,50,Stone,0.35552,17,45
0.09,0.6,25,38,50,Stone,0.35552,17,45
0.09,0.6,25,40,50,Stone,0.35552,17,45
0.09,0.6,25,42,50,Stone,0.35552,17,45
0.09,0.6,25,44,50,Stone,0.35552,17,45
0.09,0.6,25,46,50,Stone,0.35601,17,46
0.09,0.6,25,48,50,Stone,0.36459,17,48
0.09,0.6,25,50,50,Stone,0.38849,17,50
0.09,0.6,25,52,50,Stone,0.44005,17,52
0.09,0.6,25,54,50,Stone,0.44256,17,39
0.09,0.6,25,56,50,Stone,0.44104,18,40
0.09,0.6,25,58,50,Stone,0.44324,19,42
0.09,0.6,25,60,50,Stone,0.4399,19,43
0.052,0.65,18,8,10,Brick,0.37121,2,7
0.052,0.65,18,10,10,Brick,0.35736,3,9
0.052,0.65,18,12,10,Brick,0.34048,3,10
0.052,0.65,18,14,10,Brick,0.3313,4,12
0.052,0.65,18,16,10,Brick,0.32116,4,13
0.052,0.65,18,18,10,Brick,0.31456,5,15
0.052,0.65,18,20,10,Brick,0.30845,5,17
0.052,0.65,18,22,10,Brick,0.30349,6,18
0.052,0.65,18,24,10,Brick,0.29868,6,20
0.052,0.65,18,26,10,Brick,0.29574,7,21
0.052,0.65,18,28,10,Brick,0.2918,7,23
0.052,0.65,18,30,10,Brick,0.29006,8,24
0.052,0.65,18,32,10,Brick,0.28673,8,26
0.052,0.65,18,34,10,Brick,0.28573,9,27
0.052,0.65,18,36,10,Brick,0.28284,9,29
0.052,0.65,18,38,10,Brick,0.28233,10,30
0.052,0.65,18,40,10,Brick,0.27977,10,32
0.052,0.65,18,42,10,Brick,0.27932,11,34
0.052,0.65,18,44,10,Brick,0.2773,11,35
0.052,0.65,18,46,10,Brick,0.27676,12,37
0.052,0.65,18,48,10,Brick,0.27526,12,38
0.052,0.65,18,50,10,Brick,0.27467,13,40
0.052,0.65,18,52,10,Brick,0.27355,13,41
0.052,0.65,18,54,10,Brick,0.27293,14,43
